symbol,timestamp,close,future_close,forward_return,true_label,pred_signal,hybrid_score,technical_score,sentiment_score,volatility_index,confidence,reason
ETHUSDT,2025-10-28T04:00:00+00:00,4100.01,4013.78,-0.021031656020351175,SELL,HOLD,0.1005,0.3349,0.0,0.0,0.1005,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-28T05:00:00+00:00,4068.6,4026.98,-0.010229562994641865,HOLD,HOLD,0.1761,0.5869,0.0,0.0,0.1761,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-28T06:00:00+00:00,4112.84,4024.54,-0.02146934964647304,SELL,HOLD,0.171,0.5699,0.0,0.0,0.171,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-28T07:00:00+00:00,4117.24,4025.06,-0.02238878471986084,SELL,HOLD,0.1757,0.5858,0.0,0.0,0.1757,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-28T08:00:00+00:00,4123.99,4007.66,-0.028208118836369617,SELL,HOLD,0.1573,0.5242,0.0,0.0,0.1573,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-28T09:00:00+00:00,4122.89,3997.37,-0.030444663815915637,SELL,HOLD,0.1373,0.4575,0.0,0.0,0.1373,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-28T10:00:00+00:00,4118.2,3989.07,-0.031355932203389746,SELL,HOLD,0.0512,0.1705,0.0,0.0,0.0512,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-28T11:00:00+00:00,4112.46,4011.01,-0.024668932950107678,SELL,HOLD,0.0382,0.1274,0.0,0.0,0.0382,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-28T12:00:00+00:00,4121.97,4016.01,-0.025706155066630768,SELL,HOLD,0.0317,0.1058,0.0,0.0,0.0317,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-28T13:00:00+00:00,4158.6,3995.17,-0.03929928341268703,SELL,HOLD,0.144,0.48,0.0,0.0,0.144,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-28T14:00:00+00:00,4118.78,3988.57,-0.03161373027935447,SELL,HOLD,0.2051,0.6838,0.0,0.0,0.2051,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-28T15:00:00+00:00,4096.85,3951.71,-0.03542721847272912,SELL,HOLD,0.0888,0.296,0.0,0.0,0.0888,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-28T16:00:00+00:00,4135.0,3962.21,-0.041787182587666255,SELL,HOLD,0.1514,0.5047,0.0,0.0,0.1514,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-28T17:00:00+00:00,4140.13,4013.8,-0.03051353459915508,SELL,HOLD,0.1427,0.4756,0.0,0.0,0.1427,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-28T18:00:00+00:00,4115.42,3917.9,-0.047995101350530436,SELL,HOLD,0.1889,0.6298,0.0,0.0,0.1889,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-10-28T19:00:00+00:00,4039.39,3905.71,-0.033094105793201406,SELL,HOLD,0.0643,0.2145,0.0,0.0,0.0643,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-28T20:00:00+00:00,3979.28,3951.47,-0.006988701473633521,HOLD,HOLD,-0.0604,-0.2012,0.0,0.0,0.0604,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-28T21:00:00+00:00,3982.54,3956.76,-0.006473255761398441,HOLD,HOLD,-0.06,-0.2,0.0,0.0,0.06,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-28T22:00:00+00:00,3995.24,3940.8,-0.01362621519608324,HOLD,HOLD,-0.0678,-0.226,0.0,0.0,0.0678,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-28T23:00:00+00:00,3979.2,3902.99,-0.019152090872537202,HOLD,HOLD,-0.06,-0.2,0.0,0.0,0.06,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T00:00:00+00:00,3972.99,3922.56,-0.012693210906647094,HOLD,HOLD,-0.06,-0.2,0.0,0.0,0.06,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T01:00:00+00:00,3982.45,3927.55,-0.013785483810217238,HOLD,HOLD,-0.0745,-0.2482,0.0,0.0,0.0745,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T02:00:00+00:00,4002.97,3945.66,-0.014316869724229747,HOLD,HOLD,-0.0896,-0.2987,0.0,0.0,0.0896,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T03:00:00+00:00,3997.66,3934.58,-0.01577923085004726,HOLD,HOLD,-0.06,-0.2,0.0,0.0,0.06,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-10-29T04:00:00+00:00,4013.78,3871.73,-0.03539057945378177,SELL,HOLD,-0.0853,-0.2842,0.0,0.0,0.0853,Neutral sentiment and technical indicators showing balanced market conditions
